ProductID,ProductName,Category,Price,Rating,NumReviews,StockQuantity,Discount,Sales,DateAdded,DiscountRange,Price_range,Revenue,year_month,ProductAgeDays
1,Headphones,Electronics,400.31,1.7,3772,20,0.08,466,2023-11-08,0-10%,400-450,186544.46,2023-11,217
2,Headphones,Electronics,235.03,2.3,2919,663,0.33,1332,2023-09-26,30-40%,200-250,313059.96,2023-09,260
3,Smartwatch,Electronics,417.9,1.8,1184,459,0.31,252,2023-10-18,30-40%,400-450,105310.79999999999,2023-10,238
4,Smartphone,Electronics,152.7,3.4,2047,475,0.49,1806,2023-12-03,40-50%,150-200,275776.19999999995,2023-12,192
5,Laptop,Electronics,394.74,1.8,1267,831,0.23,1508,2023-08-08,20-30%,350-400,595267.92,2023-08,309
6,Headphones,Electronics,93.56,1.3,2435,600,0.48,241,2023-09-19,40-50%,50-100,22547.96,2023-09,267
7,Laptop,Electronics,57.86,3.7,1478,427,0.25,1966,2024-05-06,20-30%,50-100,113752.76,2024-05,37
8,Laptop,Electronics,201.62,1.7,3073,389,0.1,1795,2023-08-05,0-10%,200-250,361907.9,2023-08,312
9,Smartphone,Electronics,485.1,4.1,161,201,0.45,269,2023-06-25,40-50%,450-500,130491.90000000001,2023-06,353
10,Smartwatch,Electronics,170.0,3.3,1275,701,0.16,719,2023-10-17,10-20%,150-200,122230.0,2023-10,239
11,Laptop,Electronics,274.45,3.3,4859,187,0.27,1064,2024-01-05,20-30%,250-300,292014.8,2024-01,159
12,Headphones,Electronics,90.98,1.1,2568,343,0.2,647,2024-04-08,10-20%,50-100,58864.060000000005,2024-04,65
13,Headphones,Electronics,107.43,3.8,4514,288,0.3,1513,2023-10-23,20-30%,100-150,162541.59,2023-10,233
14,Laptop,Electronics,66.78,4.5,4875,929,0.05,502,2024-04-09,0-10%,50-100,33523.56,2024-04,64
15,Smartwatch,Electronics,336.3,3.4,2773,986,0.28,1762,2024-03-01,20-30%,300-350,592560.6,2024-03,103
16,Headphones,Electronics,359.49,4.0,502,766,0.13,794,2023-11-16,10-20%,350-400,285435.06,2023-11,209
17,Headphones,Electronics,64.34,2.8,863,742,0.24,1020,2024-03-06,20-30%,50-100,65626.8,2024-03,98
18,Smartwatch,Electronics,454.71,2.0,1678,170,0.1,524,2024-01-02,0-10%,450-500,238268.03999999998,2024-01,162
19,Headphones,Electronics,151.98,1.6,2625,681,0.4,1976,2024-01-28,30-40%,150-200,300312.48,2024-01,136
20,Smartwatch,Electronics,403.8,1.7,1981,330,0.16,1371,2023-10-23,10-20%,400-450,553609.8,2023-10,233
21,Laptop,Electronics,63.93,1.9,4029,632,0.41,1768,2023-09-25,40-50%,50-100,113028.24,2023-09,261
22,Headphones,Electronics,90.68,3.1,4413,676,0.35,1257,2023-12-21,30-40%,50-100,113984.76000000001,2023-12,174
23,Smartwatch,Electronics,472.03,2.3,1495,232,0.2,1853,2024-04-19,10-20%,450-500,874671.59,2024-04,54
24,Smartwatch,Electronics,133.37,3.0,1636,624,0.5,698,2024-02-18,40-50%,100-150,93092.26000000001,2024-02,115
25,Laptop,Electronics,256.31,1.2,3474,637,0.07,1707,2023-11-05,0-10%,250-300,437521.17,2023-11,220
26,Smartwatch,Electronics,280.92,3.4,3510,202,0.18,400,2023-09-29,10-20%,250-300,112368.0,2023-09,257
27,Laptop,Electronics,190.21,3.5,197,981,0.27,751,2024-01-18,20-30%,150-200,142847.71,2024-01,146
28,Smartphone,Electronics,83.85,3.0,2511,348,0.43,763,2023-06-30,40-50%,50-100,63977.549999999996,2023-06,348
29,Headphones,Electronics,406.66,2.4,1734,819,0.47,1959,2024-02-03,40-50%,400-450,796646.9400000001,2024-02,130
30,Headphones,Electronics,469.0,1.6,4061,297,0.13,1787,2024-01-18,10-20%,450-500,838103.0,2024-01,146
31,Laptop,Electronics,491.26,3.1,4976,1,0.5,253,2024-01-22,40-50%,450-500,124288.78,2024-01,142
32,Smartphone,Electronics,451.2,3.5,2056,232,0.17,815,2023-11-15,10-20%,450-500,367728.0,2023-11,210
33,Headphones,Electronics,429.6,2.6,1696,919,0.43,1648,2024-02-27,40-50%,400-450,707980.8,2024-02,106
34,Smartwatch,Electronics,294.54,2.5,98,152,0.0,1919,2023-07-08,,250-300,565222.26,2023-07,340
35,Laptop,Electronics,349.03,3.6,4067,160,0.01,397,2023-09-07,0-10%,300-350,138564.91,2023-09,279
36,Smartwatch,Electronics,375.78,3.6,1218,400,0.15,687,2024-05-19,10-20%,350-400,258160.86,2024-05,24
37,Laptop,Electronics,299.04,4.9,562,437,0.45,26,2023-10-28,40-50%,250-300,7775.040000000001,2023-10,228
